"OMs";"Name";"Description";"Origem";"Index"
"1";"OM1";"Reference";"OM WSKJ_EstRec93_Qnt25_h6";"SS3 Uncertainty Grid Reconditioned";"Inverse-Variance Weighting"
"2";"OM2";"Reference";"OM WSKJ_EstRec93_Qnt50_h6";"SS3 Uncertainty Grid Reconditioned";"Inverse-Variance Weighting"
"3";"OM3";"Reference";"OM WSKJ_EstRec93_Qnt75_h6";"SS3 Uncertainty Grid Reconditioned";"Inverse-Variance Weighting"
"4";"OM4";"Reference";"OM WSKJ_EstRec93_Qnt25_h7";"SS3 Uncertainty Grid Reconditioned";"Inverse-Variance Weighting"
"5";"OM5";"Reference";"OM WSKJ_EstRec93_Qnt50_h7";"SS3 Uncertainty Grid Reconditioned";"Inverse-Variance Weighting"
"6";"OM6";"Reference";"OM WSKJ_EstRec93_Qnt75_h7";"SS3 Uncertainty Grid Reconditioned";"Inverse-Variance Weighting"
"7";"OM7";"Reference";"OM WSKJ_EstRec93_Qnt25_h8";"SS3 Uncertainty Grid Reconditioned";"Inverse-Variance Weighting"
"8";"OM8";"Reference";"OM WSKJ_EstRec93_Qnt50_h8";"SS3 Uncertainty Grid Reconditioned";"Inverse-Variance Weighting"
"9";"OM9";"Reference";"OM WSKJ_EstRec93_Qnt75_h8";"SS3 Uncertainty Grid Reconditioned";"Inverse-Variance Weighting"
